fetures,p-val
-_MSTRG.40503,
SNORD113-3_MSTRG.28320,0.9212579214914673
-_MSTRG.38973,
-_MSTRG.80329,
-_MSTRG.90151,
-_MSTRG.51371,
-_MSTRG.13645,
AL158032.1_MSTRG.23446,0.38112474315864686
-_MSTRG.44840,
AC007786.1_MSTRG.44044,0.7258193098532691
-_MSTRG.31397,
-_MSTRG.59710,
-_MSTRG.50839,
-_MSTRG.69028,
-_MSTRG.16062,
-_MSTRG.25049,
-_MSTRG.39079,
DPH3P1_MSTRG.55765,0.7613028987228236
-_MSTRG.77416,
KRT8P49_MSTRG.13822,4.0091300100862405e-07
AL035666.1_MSTRG.54788,0.7973120945745755
-_MSTRG.84224,
-_MSTRG.45175,
-_MSTRG.49485,
AC004900.1_MSTRG.27428,3.2720865277998284e-08
-_MSTRG.3840,
-_MSTRG.52268,
F11-AS1_MSTRG.69017,0.6399416453736012
-_MSTRG.21894,
AC006023.2_MSTRG.80221,0.5209934963274289
-_MSTRG.3830,
-_MSTRG.74516,
RPL9P28_MSTRG.38489,0.0005396924586043595
-_MSTRG.71555,
-_MSTRG.35971,
-_MSTRG.7400,
-_MSTRG.39429,
-_MSTRG.9940,
-_MSTRG.56988,
ACP7_MSTRG.44621,0.016259680856156075
Metazoa_SRP_MSTRG.31142,0.9073258421044547
AC074117.2_MSTRG.47062,0.17817220733376027
AC024451.4_MSTRG.85631,0.9865505567187793
RBM17P4_MSTRG.29483,0.6507706656270937
-_MSTRG.7634,
-_MSTRG.85094,
-_MSTRG.48888,
-_MSTRG.71180,
-_MSTRG.25755,
-_MSTRG.89327,
-_MSTRG.85644,
-_MSTRG.42352,
-_MSTRG.13384,
-_MSTRG.24068,
RPL21P120_MSTRG.36962,0.0001929569599005322
RNA5SP268_MSTRG.86142,0.003191212384178677
-_MSTRG.20246,
LINC02005_MSTRG.61376,0.12039593954035352
-_MSTRG.72947,
-_MSTRG.87205,
ZIC5_MSTRG.25191,1.3589077029711014e-08
-_MSTRG.1245,
-_MSTRG.54703,
AL583810.1_MSTRG.28619,0.056190434167174175
AC009963.2_MSTRG.49462,0.6588673890840429
-_MSTRG.70661,
-_MSTRG.35441,
-_MSTRG.43826,
-_MSTRG.10476,
-_MSTRG.12791,
-_MSTRG.453,
AC010469.2_MSTRG.69921,0.004003219924632086
-_MSTRG.5639,
-_MSTRG.57610,
-_MSTRG.32114,
-_MSTRG.27914,
-_MSTRG.32840,
-_MSTRG.6750,
MIR550A2_MSTRG.79980,0.021495549039088378
